id,category,title,snippet,author,source,timestamp,url,featured_level,featured_title,featured_snippet
1,news,Crypto activity in Brazil rises 43% with average investment surpassing $1000,Brazil's crypto market showed signs of maturity in 2025 with 43% growth in transaction volume and average investments crossing $1000 per user.,Amin Haqshanas,Cointelegraph,2025-12-30,https://cointelegraph.com/news/brazil-crypto-activity-43-percent-growth-average-investment-2025,,,
46,people,-,"Information is powerful. Whoever can control, alter, or erase it holds power. For anyone still in Buenos Aires, the Museo Sitio de Memoria ESMA is worth a visit. Once a secret detention center, now a place of testimony showing how the military dictatorship operated.",@AyaMiyagotchi,X,2025-12-28,https://x.com/AyaMiyagotchi/status/1994421737954390487,,,
15,orgs,How Consensys and Ethereum made 2025 crypto’s most important year,2026 will be about building on the foundation set in 2025.,Eric Mack,Consensys,2025-12-26,https://consensys.io/blog/how-consensys-and-ethereum-made-2025-cryptos-most-important-year,,,
22,events,Ethereum Cypherpunk Congress #2,"Sunday, November 16 9:00 AM - 7:00 PM GMT-3",Web3Privacy Now Events,Luma,2025-12-24,https://luma.com/u2sw5kpv?tk=CEDK24,,,
9,grants,Calling All Builders: BlobKit is Funding $50000 in Ethereum for OnBlob Innovation,Ethereum Community Foundation announces $50000 in grants for developers building with BlobKit SDK to expand the OnBlob ecosystem.,Ethereum Community Foundation,ECF,2025-12-22,https://ethcf.org/blog/blob-grants/,1,BlobKit is Funding $50000 for OnBlob Innovation,ECF announces $50000 in grants for developers building with BlobKit SDK to expand the OnBlob ecosystem.
33,projects,Hubs Network,Collaborative network for social impact that creates and connects Multidisciplinary in real life spaces that acts and sets impulses to reinvent society futures.,Pensieve ,ECF,2025-12-20,https://pensieve.ecf.network/project/111,,,
32,media,Mihai Alisie - AKASHA: Decentralized Autonomous Worlds for smarter communities,"Join us for an insightful session with Mihai Alisie, Ethereum co-founder, as he delves into his presentation called `AKASHA: Decentralized Autonomous Worlds for smarter communities'.",ETH Bucharest,YouTube,2024-12-18,https://youtu.be/Ya_X2bedgfQ,,,
2,news,Blockchains quietly prepare for quantum threat as Bitcoin debates timeline,Altcoin blockchains like Aptos and Solana are testing quantum-resistant solutions while Bitcoin community debates urgency of the distant threat.,Yohan Yun,Cointelegraph,2025-12-16,https://cointelegraph.com/news/blockchains-prepare-quantum-threat-bitcoin-debate-timeline,,,
49,people,-,"a long read, and the pacing and depth varies nicely between practical experiences, experiments, and theoretical explorations - great insights into some aspects of Ethereum culture (at least a side of it)",@tkstanczak,X,2025-12-14,https://x.com/tkstanczak/status/2001418974513246279,,,
12,orgs,Devconnect Argentina Recap,Devconnect Buenos Aires drew 14000+ attendees from 130+ countries featuring World's Fair format at La Rural with 80+ exhibitors.,Devcon Team,Ethereum Foundation,2025-12-12,https://blog.ethereum.org/2025/12/04/devconnect-arg-wrap,2,Devconnect Argentina Recap,14000+ attendees from 130+ countries at World's Fair format event in Buenos Aires.
24,events,Logos Circle Barcelona #3,"Thursday, Nov 6 · 6:30 PM to 8:30 PM CET",AKASHA Hub B.,Meetup,2025-12-10,https://www.meetup.com/akashabarcelona/events/311885481/,,,
37,projects,World of Dypians,Experience unique gameplay and explore a world without end in a quest to form your destiny.,DappRadar,DappRadar,2025-12-08,https://dappradar.com/dapp/world-of-dypians,,,
31,media,Ethereum co-founder on ETH treasury strategy and the crypto's utility,"Joe Lubin, Ethereum co-founder, joins 'Squawk Box' to discuss what's going on with Ethereum, the treasury strategy and much more.",CNBC Television,YouTube,2025-12-06,https://youtu.be/UTz572Drfqw,,,
3,news,Synthetix returns to Ethereum mainnet after 3 years,Synthetix founder Kain Warwick announces return to Ethereum L1 for perpetuals trading citing reduced gas fees and improved network capacity.,Ciaran Lyons,Cointelegraph,2025-12-04,https://cointelegraph.com/news/synthetix-ethereum-mainnet-return-kain-warwick-bullish-eth,,,
42,people,-,"The future: I think tribes and zones will mostly cooperate, not merge. And hopefully they can give people more options where to be, redistribute global talent, and improve our institutions and our culture.",vitalik.eth @VitalikButerin,X,2025-12-02,https://x.com/VitalikButerin/status/2001368501072822480,,,
19,orgs,Decentralized Autonomous Worlds: AKASHA's Keynote at ETH Bucharest 2024,"ETH Bucharest 2024: Mihai Alisie discusses Ethereum's inception, maximum viable decentralization, legal hacking, and smarter communities.",Wass B.,AKASHA Foundation,2024-11-30,https://blog.akasha.org/akasha-keynote-eth-bucharest-2024/,,,
23,events,Ethereum Culture Day by ETHPrague,"Thursday, November 20 2:00 PM - 7:00 PM GMT-3",Multiple,Luma,2025-11-28,https://luma.com/tpsd95u6?tk=ktVBhF,,,
35,projects,Dapp Learning,Dapp learning project for developers at all stages. Becoming and cultivating sovereign individuals. Nonprofit organization.,Pensieve ,ECF,2025-11-26,https://pensieve.ecf.network/project/119,,,
30,media,Ethereum in 30 minutes by Vitalik Buterin | Devcon SEA,"Vitalik Buterin opens Devcon with a comprehensive overview of Ethereum's evolution as a decentralized ""world computer,"" explaining layer 1 trust and layer 2 scaling solutions, emphasizing improvements in decentralization and encouraging developers to build innovative applications.",Ethereum Foundation,YouTube,2024-11-24,https://youtu.be/ei3tDRMjw6k,,,
7,news,Most Influential: Hsiao-Wei Wang and Tomasz K. Stańczak,The Ethereum Foundation’s new leaders hope to bring in a new era for the second-largest cryptocurrency.,Margaux Nijkerk,CoinDesk,2025-11-22,https://www.coindesk.com/tech/2025/12/19/most-influential-hsiao-wei-wang-and-tomasz-k-stanczak,,,
47,people,-,"Privacy is not a nice add on. It is a basic need, especially in our highly exposed lives on the internet.",@AyaMiyagotchi,X,2025-11-20,https://x.com/AyaMiyagotchi/status/1990913495576052203,,,
17,orgs,ETH10X Celebration: Honoring A Decade of Ethereum,"At ETH10X, Ethereum co-founders received the first Swiss Blockchain Award for 'Lifetime Achievement'. This historic moment at CV Summit 2024 honored their decade-long impact on blockchain tech and Zug's role as ""Crypto Valley"".",Wass B.,AKASHA Foundation,2024-11-18,https://blog.akasha.org/eth10x-celebration-decade-of-ethereum/,,,
25,events,Meet Enterprise Ethereum Alliance,"Fri, Jul 21, 2023 · 6:00 PM to 8:00 PM CEST",Ethereum Zurich,Meetup,2025-11-16,https://www.meetup.com/ethereum-zurich/events/294884660/?eventOrigin=group_past_events,,,
40,projects,Decentraland,"A community-driven virtual world where you can connect, explore, and create! Decentraland 2.0 Beta out NOW ",DappRadar,DappRadar,2025-11-14,https://dappradar.com/dapp/decentraland,,,
29,media,Next 10 Years of Ethereum by Fede - Devconnect,The Next 10 Years of Ethereum: Verifiable Future,Ethereum Foundation,YouTube,2025-11-12,https://youtu.be/2E-0DF0tFbc,,,
4,news,Ethereum's Glamsterdam upgrade aims to fix MEV fairness,Ethereum developers plan 2026 Glamsterdam upgrade featuring enshrined Proposer-Builder Separation to reduce MEV manipulation risks.,Margaux Nijkerk,CoinDesk,2025-11-10,https://www.coindesk.com/tech/2025/12/20/ethereum-s-glamsterdam-upgrade-aims-to-fix-mev-fairness,,,
50,people,-,Ethereum in Manhattan,@tkstanczak,X,2025-11-08,https://x.com/tkstanczak/status/1999578667840610516,,,
16,orgs,AKASHA Around The World #6,Monthly dispatch covering AKASHA's global hub network celebrating Ethereum's 10-year anniversary with events across Zug Barcelona Rome and Cluj.,Wass B.,AKASHA Foundation,2025-11-06,https://blog.akasha.org/akasha-around-the-world-6/,,,
21,events,Global Ethereum Communities Meet LATAM ,"Saturday, November 15 12:00 PM - 1:30 PM GMT-3",ETHCluj,Luma,2025-11-04,https://luma.com/o12kekyr?tk=ycH1uD,,,
34,projects,Web3Radio,"the first decentralized webradio, for communities",Pensieve ,ECF,2025-11-02,https://pensieve.ecf.network/project/6,,,
28,media,Devconnect ARG Closing Happy Hour & Big Announcement,Devconnect in Buenos Aires livestreaming from the Music Stage for the Closing Happy Hour& Big Announcement.,Ethereum Foundation,YouTube,2025-10-30,https://www.youtube.com/live/1E9Nkkfg_38?si=TFUI11RuiA3HwqCc,,,
5,news,Ethereum Activates Fusaka Upgrade Aiming to Cut Node Costs Speed Layer-2 Settlements,Ethereum's Fusaka upgrade introduces PeerDAS allowing validators to verify data slices rather than full blobs reducing costs for L2 networks.,Margaux Nijkerk,CoinDesk,2025-10-28,https://www.coindesk.com/tech/2025/12/03/ethereum-activates-fusaka-upgrade-aiming-to-cut-node-costs-speed-layer-2-settlements,,,
43,people,-,"The fact that we have political systems that do byzantine things instead of just charging a basic tax per litre of fuel to account for environmental costs continues to frustrate me. Policy should tell consumers what to optimize for, not how to optimize for it.",vitalik.eth @VitalikButerin,X,2025-10-26,https://x.com/VitalikButerin/status/1996997278893044045,,,
13,orgs,The Ethereum Foundation’s Commitment to Privacy,Privacy is for everyone,Ethereum Foundation Team,Ethereum Foundation,2025-10-24,https://blog.ethereum.org/2025/10/08/privacy-commitment,,,
26,events,Ethereum Account Abstraction (Register Link Inside),"Thu, Apr 13, 2023 · 6:00 PM to 9:00 PM CEST",Ethereum Zurich,Meetup,2025-10-22,https://www.meetup.com/ethereum-zurich/events/292504588/?eventOrigin=group_past_events,,,
36,projects,Project Mocha,Turning Coffee Consumers to Coffee Investors,Pensieve ,ECF,2025-10-20,https://pensieve.ecf.network/project/88,,,
6,news,Ethereum's 'Fusaka' Upgrade Cements Network's Role as On-Chain Finance Settlement Layer: Bitwise,"The upgrade will boost throughput, keep validators efficient and, most importantly, strengthen Ethereum's value capture by putting a floor under blob fees.","Will Canny, AI Boost",CoinDesk,2025-10-18,https://www.coindesk.com/tech/2025/12/03/fusaka-cementing-ethereum-s-role-as-on-chain-finance-settlement-layer-bitwise,,,
48,people,-,"As Ethereum matures, new bridges are forming between open networks and public institutions. The 10th anniversary year of Ethereum and Singapore FinTech Festival will host ""Ethereum in the Spotlight"", exploring how open networks can reach institutional adoption.",@AyaMiyagotchi,X,2025-10-16,https://x.com/AyaMiyagotchi/status/1986059165551456467,,,
11,orgs,The Future of Ethereum's State,Ethereum Foundation explores state growth challenges and proposes solutions including state expiry archives and partial statelessness.,Wei Han Ng and Carlos Pérez,Ethereum Foundation,2025-10-14,https://blog.ethereum.org/2025/12/16/future-of-state,2,Future of Ethereum's State,Exploring state growth challenges and solutions for Ethereum's scalability.
27,events,Let's Talk About DAOs,"Wed, Oct 11, 2023, 6:00 PM",Ethereum Denver,Meetup,2025-10-12,https://www.meetup.com/ethereum-denver/events/296183830/?eventOrigin=group_past_events,,,
38,projects,Guild of Guardians Heroes,NFT collection by Guild of Guardians,DappRadar,DappRadar,2025-10-10,https://dappradar.com/nft-collection/guild-of-guardians-heroes-1,,,
8,news,Ethereum must become simpler to achieve true trustlessness: Buterin,"Vitalik Buterin says Ethereum needs to boost the number of people who can understand the entire blockchain, and it can “get better at this by making the protocol simpler.”",Stephen Katte,Cointelegraph,2025-10-08,https://cointelegraph.com/news/ethereum-simplify-trustless-user-experience-buterin,,,
41,people,-,"Wonderland is a great team and has been very helpful in the Ethereum ecosystem, including to the EF on interop and Kohaku, and to many Ethereum projects.",vitalik.eth @VitalikButerin,X,2025-10-06,https://x.com/VitalikButerin/status/2001421862593585533,,,
14,orgs,10 years of Ethereum,Joe Lubin reflects on Ethereum's 10-year journey from genesis block to becoming foundational infrastructure for the decentralized global economy.,Joe Lubin,Consensys,2025-10-04,https://consensys.io/blog/10-years-of-ethereum,,,
20,events,Ethereum 10 Year Anniversary - ETHCluj,ETHCluj hosts special evening celebrating 10 years since Ethereum's genesis block open to builders devs and crypto-curious community members.,ETHCluj,Luma,2025-10-02,https://luma.com/sfxc7yrs?tk=FfUCEB,2,Ethereum 10 Year Anniversary,ETHCluj celebrates 10 years since Ethereum's genesis block with special evening event.
39,projects,Hooked,The on-ramp layer for massive Web3 adoption to form the ecosystem of future community-owned economies.,DappRadar,DappRadar,2025-09-30,https://dappradar.com/dapp/hooked,,,
44,people,-,I hope Zcash resists the dark hand of token voting. Token voting is bad in all kinds of ways (see vitalik.eth.limo/general/2021/08/16/voting3.html). Privacy is exactly the sort of thing that will erode over time if left to the median token holder.,vitalik.eth @VitalikButerin,X,2025-09-28,https://x.com/VitalikButerin/status/1995063062165135675,,,
18,orgs,AKASHA at ETHRome 2024: Announcing the Urbe Hub,"AKASHA-Urbe hub announced at ETH Rome: a new Roma-based center to offer coworking, hackathons, and knowledge transfer for the Ethereum community.",Wass B.,AKASHA Foundation,2024-09-26,https://blog.akasha.org/akasha-urbe-hub-rome/,,,
